id,created_at,content,replies_count,reblogs_count,favourites_count,media_links,post_id,actual_return_before,actual_return_after,actual_volatility_before,actual_volatility_after,actual_return_change,actual_volatility_change,actual_price_change_10m,actual_price_change_1h,actual_price_change_1d,llm_sentiment_score,gpt4_return,gpt4_volatility,llm_cryptorelated,llm_emotiontype,llm_emotionlevel,llm_geopolitical,llm_economyimpact,llm_btcprice,llm_expectation
64,2025-10-27 01:36:53.202+00,"Just leaving Malaysia, a great and very vibrant Country. Signed major Trade and Rare Earth Deals, and yesterday, most importantly, signed the Peace Treaty between Thailand and Cambodia. NO WAR! Millions of lives saved. Such an honor to have gotten this done. Now, off to Japan!!!",1490,5388,25148,[],115443565409065734,0.03050641099074183824,-0.00786330387006066489,0.020482445715021164455555,0.015896495460718196623273,-0.00484843111490617222,0.000184923753179462448274,0.00041503996517205411,-0.00307304894329713928,-0.78324689705116795300,5.0,0.2,0.3,0,1,6,9,7,1,8
65,2025-10-26 22:34:40.881+00,“Washington Post editorial board praises Trump’s demolition of East Wing” https://thehill.com/homenews/media/5574074-washington-post-praises-trump/,1269,4224,18125,[],115442848945833358,0.02606399425642864081,-0.00127517099923278355,0.019613626930999882868171,0.016433447566842374770969,-0.00924416728601476293,-0.000321060906120581911,0.00034952929705308898,0.00139549702856428177,-0.12743583141683211500,5.0,0.1,0.3,0,5,3,4,1,0,7
68,2025-10-26 20:20:54.538+00,Thank you. Big progress for America being made!,2105,6912,30161,"[{""id"":""115442321119898889"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/442/321/119/898/889/original/19de358fe4a6dd19.jpg"",""meta"":{""small"":{""size"":""737x869"",""width"":737,""aspect"":0.8481012658227848,""height"":869},""original"":{""size"":""933x1100"",""width"":933,""aspect"":0.8481818181818181,""height"":1100}},""type"":""image"",""blurhash"":""U76RGqRi4,%3xujuM}j=X1s;-qM{V|a{obf8"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/442/321/119/898/889/small/19de358fe4a6dd19.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115442322929776750,0.01708216382609239137,0.01182978591133227639,0.011795597064301055397466,0.022340140218717242230124,-0.00080498458017905230,0.000394897531151039596935,-0.00073833360220541480,-0.00116697238200605240,1.19000345642329528900,7.0,0.3,0.4,0,1,3,2,2,0,7
69,2025-10-26 20:19:17.677+00,"Pregnant Women, DON’T USE TYLENOL UNLESS ABSOLUTELY NECESSARY, DON’T GIVE TYLENOL TO YOUR YOUNG CHILD FOR VIRTUALLY ANY REASON, BREAK UP THE MMR SHOT INTO THREE TOTALLY SEPARATE SHOTS (NOT MIXED!), TAKE CHICKEN P SHOT SEPARATELY, TAKE HEPATITAS B SHOT AT 12 YEARS OLD, OR OLDER, AND, IMPORTANTLY, TAKE VACCINE IN 5 SEPARATE MEDICAL VISITS! President DJT https://dailycaller.com/2025/10/21/fda-stayed-silent-potential-tylenol-risks-internal-reports/",1363,6625,20890,[],115442316583935494,0.01702391176883746562,0.01148846776571880019,0.011796653921778737865094,0.022340401981670081142027,-0.00053851915787688143,0.000418017963383812762879,-0.00112572687224669604,-0.00117726872246696035,1.15547136563876652000,5.0,0.0,0.1,0,4,7,2,3,0,3
70,2025-10-26 18:26:02.984+00,"What’s worse, the NBA Players cheating at cards, and probably much else, or the Democrats cheating on Elections. The 2020 Presidential Election, being Rigged and Stolen, is a far bigger SCANDAL. Look what happened to our Country when a Crooked Moron became our “President!” We now know everything. I hope the DOJ pursues this with as much “gusto” as befitting the biggest SCANDAL in American history! If not, it will happen again, including the upcoming Midterms. No mail-in  or “Early” Voting, Yes to Voter ID! Watch how totally dishonest the California Prop Vote is! Millions of Ballots being “shipped.” GET SMART REPUBLICANS, BEFORE IT IS TOO LATE!!!",4743,13110,46757,[],115441871289276790,0.01811450514466513000,0.01708600935925766205,0.011732654155840119624335,0.022088712191117368061210,0.00184663324553865433,0.000583891995456934819392,0.00092673761320762278,0.00092867528926641082,1.72328101050158770500,5.0,-0.3,0.6,0,3,8,7,3,1,4
71,2025-10-25 22:15:50.076+00,"I am on my way to Malaysia, where I will sign the great Peace Deal, which I proudly brokered between Cambodia and Thailand. Sadly, the Queen Mother of Thailand has just passed away. I send my condolences to the Great People of Thailand. I will be seeing their wonderful Prime Minister when we land. In order to accommodate everyone for this major event, we will be signing the Peace Deal immediately upon arrival. See you soon! President DJT",3235,7490,36410,[],115437112529618205,0.00407262937963331031,0.02818525904943058894,0.009066143720416453847912,0.019465120675767541917369,0.001986378718860306040,-0.000162739096617024095797,0.00030873460455405081,0.00208593304623408401,2.85862216771899694300,5.0,0.1,0.3,0,2,5,8,6,1,7
72,2025-10-25 21:43:11.929+00,"RT @realDonaldTrumpCanada was caught, red handed, putting up a fraudulent advertisement on Ronald Reagan’s Speech on Tariffs. The Reagan Foundation said that they, “created an ad campaign using selective audio and video of President Ronald Reagan. The ad misrepresents the Presidential Radio Address,” and “did not seek nor receive permission to use and edit the remarks. The Ronald Reagan Presidential Foundation and Institute is reviewing its legal options in this matter.” The sole purpose of this FRAUD was Canada’s hope that the United States Supreme Court will come to their “rescue” on Tariffs that they have used for years to hurt the United States. Now the United States is able to defend itself against high and overbearing Canadian Tariffs (and those from the rest of the World as well!). Ronald Reagan LOVED Tariffs for purposes of National Security and the Economy, but Canada said he didn’t! Their Advertisement was to be taken down, IMMEDIATELY, but they let it run last night during the World Series, knowing that it was a FRAUD. Because of their serious misrepresentation of the facts, and hostile act, I am increasing the Tariff on Canada by 10% over and above what they are paying now. Thank you for your attention to this matter!",0,0,2,[],115436984200406691,0.00312480689381588327,0.01861246722373978531,0.009124925488871325084799,0.012182052079761110457219,0.00360670680514555048,-0.000182019133979869674384,0.000075173620076835163651,0.00231448529197137654,1.87867588449128700000,5.0,-0.3,0.6,0,3,8,9,8,2,3
79,2025-10-25 20:30:10.525+00,"Canada was caught, red handed, putting up a fraudulent advertisement on Ronald Reagan’s Speech on Tariffs. The Reagan Foundation said that they, “created an ad campaign using selective audio and video of President Ronald Reagan. The ad misrepresents the Presidential Radio Address,” and “did not seek nor receive permission to use and edit the remarks. The Ronald Reagan Presidential Foundation and Institute is reviewing its legal options in this matter.” The sole purpose of this FRAUD was Canada’s hope that the United States Supreme Court will come to their “rescue” on Tariffs that they have used for years to hurt the United States. Now the United States is able to defend itself against high and overbearing Canadian Tariffs (and those from the rest of the World as well!). Ronald Reagan LOVED Tariffs for purposes of National Security and the Economy, but Canada said he didn’t! Their Advertisement was to be taken down, IMMEDIATELY, but they let it run last night during the World Series, knowing that it was a FRAUD. Because of their serious misrepresentation of the facts, and hostile act, I am increasing the Tariff on Canada by 10% over and above what they are paying now. Thank you for your attention to this matter!",4352,9210,36541,[],115436697060819133,0.00720766097746337549,0.01686064597000990147,0.010025804528575812654656,0.011823716811324642103266,0.00006309211521867921,0.000420773568223769265353,-0.00091213311906753668,-0.00093338513924242915,1.70035889012804207600,5.0,-0.3,0.7,0,3,8,9,7,1,4
80,2025-10-25 19:54:58.713+00,"We have a very strong PEACE in the Middle East, and I believe it has a good chance of being EVERLASTING. Hamas is going to have to start returning the bodies of the deceased hostages, including two Americans, quickly, or the other Countries involved in this GREAT PEACE will take action. Some of the bodies are hard to reach, but others they can return now and, for some reason, they are not. Perhaps it has to do with their disarming, but when I said, “Both sides would be treated fairly,” that only applies if they comply with their obligations. Let’s see what they do over the next 48 hours. I am watching this very closely.",1034,4243,17346,[],115436558661444946,0.00863975384364363263,0.01736409258112369231,0.010200549791099893106095,0.011795581628256786319615,-0.00039350861192292392,-0.000053367154234214908216,0.000052954412701962619561,-0.00106061147741646621,1.75157248173319165600,5.0,0.3,0.6,0,4,6,9,7,4,7
82,2025-10-25 18:11:28.545+00,"Congressman Jimmy Patronis is a MAGA Warrior who is doing a fantastic job representing Florida’s 1st Congressional District! A Fourth Generation Floridian from the beautiful Panhandle, and owner of an iconic seafood restaurant, Jimmy served as the Chief Financial Officer for the Great State of Florida for seven years, prior to becoming a very distinguished Congressman. In the U.S. House of Representatives, Jimmy is fighting tirelessly to Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Incredible Military/Veterans, and Defend our always under siege Second Amendment. Jimmy Patronis has my Complete and Total Endorsement for Re-Election – HE WILL NEVER LET YOU DOWN!",407,2601,11668,[],115436151669143136,0.00861161076856821464,0.01939296262586839227,0.010820976065889558106938,0.011717824612786351726007,0.00248426303370223257,0.000058187415464807909357,0.00041774724612719663,0.00199608306966386475,1.95822276154182760500,5.0,0.0,0.1,0,1,7,6,5,0,8
83,2025-10-25 15:42:51.321+00,"Richard Hudson is a Great Man, and TREMENDOUS Congressman, who is doing an outstanding job representing the wonderful people of North Carolina’s 9th Congressional District. As Chairman of the National Republican Congressional Committee (NRCC), Richard is working tirelessly with me to help elect smart, tough, and 100% America First Patriots. Together, we won the 2024 Elections down ballot in a LANDSLIDE, and, based on the incredible SUCCESS we are having, are poised to WIN BIG in the 2026 Midterms. In Congress, Richard is fighting hard to Grow the Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Support our Military/Veterans, and Defend our always under siege Second Amendment. Richard Hudson has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",633,2806,12333,[],115435567269756205,0.01235952202179850984,0.01727708984154465685,0.011962176698371943064315,0.011456524633286589193463,-0.00146126028830772008,-0.000153786231836149329569,-0.00061657151624315335,-0.00222623924284013500,1.74272020126271622700,5.0,0.0,0.1,0,1,6,4,5,0,8
84,2025-10-25 15:42:31.578+00,"Congressman David Rouzer is a terrific Representative for the incredible people of North Carolina’s 7th Congressional District! A Proven Leader, David served as a Highly Respected State Senator and Small Businessman, prior to becoming a very distinguished U.S. Congressman. In Congress, he is fighting tirelessly to Champion our Amazing Farmers and Ranchers, Grow our Economy, Cut Taxes and Regulations, Advance American Energy DOMINANCE, Promote MADE IN THE U.S.A., Keep our now very Secure Border, SECURE, Stop Migrant Crime, Advocate for our Great Military/Veterans, and Protect our always under siege Second Amendment. David Rouzer has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",249,2508,11264,[],115435565975811522,0.01235952202179850984,0.01727708984154465685,0.011962176698371943064315,0.011456524633286589193463,-0.00146126028830772008,-0.000153786231836149329569,-0.00061657151624315335,-0.00222623924284013500,1.74272020126271622700,5.0,0.0,0.1,0,1,6,4,5,0,8
85,2025-10-25 15:42:24.209+00,"Congressman Addison McDowell is an America First Patriot, who is doing a fantastic job representing North Carolina’s 6th Congressional District! A MAGA Warrior, Addison previously worked for Senator Ted Budd and Congressman Richard Hudson (Two outstanding leaders from the Great State of North Carolina!), prior to becoming a distinguished and Highly Respected Congressman. In Congress, Addison is fighting tirelessly to Champion our Great Farmers and American Agriculture, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Strengthen our Military/Veterans, and Protect our always under siege Second Amendment. Addison McDowell has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",205,2413,10898,[],115435565492870939,0.01235952202179850984,0.01727708984154465685,0.011962176698371943064315,0.011456524633286589193463,-0.00146126028830772008,-0.000153786231836149329569,-0.00061657151624315335,-0.00222623924284013500,1.74272020126271622700,5.0,0.0,0.1,0,1,7,6,4,0,8
86,2025-10-25 13:50:28.885+00,"Congresswoman Nicole Malliotakis is a Tremendous Champion for New York’s 11th Congressional District! As a Member of the POWERFUL Ways &amp; Means Committee, Nicole knows the America First Policies required to Create GREAT Jobs, Cut Taxes and Regulations, and Champion our Nation’s Golden Age. She is working hard to Advance American Energy DOMINANCE, Promote MADE IN THE U.S.A., Keep our now very Secure Border, SECURE, Strengthen our Brave Military/Veterans, Champion the Incredible NYPD and NYFD, and Protect our always under siege Second Amendment. Nicole Malliotakis has my Complete and Total Endorsement for Re-Election — SHE WILL NEVER LET YOU DOWN!",623,2934,13077,[],115435125397678740,0.00984130153236930128,0.01929633591689018007,0.014179125474507390084851,0.010901099636568733900924,0.001900121041459740545,-0.00011596811523522481917,0.00107849485032825393,-0.000036299377909327918362,1.94837134998551610000,5.0,0.0,0.1,0,1,6,7,4,0,8
87,2025-10-25 12:54:52.605+00,"Congressman Jack Bergman is a Tremendous Champion for the Great People of Michigan's 1st Congressional District! A retired Lieutenant General of the U.S. Marine Corps, Jack bravely served our Nation in combat, and continues to make our Country proud in Congress. Jack is fighting tirelessly to Champion our Amazing Farmers and Ranchers, Advocate for the Working Men and Women of Michigan, Promote MADE IN THE U.S.A., Cut Taxes and Regulations, Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Military/Veterans, and Defend our always under siege Second Amendment. Jack Bergman has my Complete and Total Endorsement – HE WILL NEVER LET YOU DOWN!",471,3032,13018,[],115434906751111005,0.00445053801697163181,0.01595199079562879092,0.015005566188485679761302,0.010756885651798919040929,-0.00247892154494786689,0.00010129020638630351443,0.00044537139920982147,-0.00099830486831118512,1.60799030473801969300,5.0,0.0,0.1,0,1,7,6,4,0,8
88,2025-10-25 12:47:16.877+00,"Congresswoman Lisa McClain is a Fantastic Advocate for the Great People of Michigan’s 9th Congressional District! As the Chair of the House Republican Conference, Lisa is doing a truly fantastic job advancing our America First Agenda. She is working tirelessly to Grow our Economy, Cut Taxes and Regulations, Champion our Great Farmers and American Agriculture, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Ensure LAW AND ORDER, Strengthen our Incredible Military/Veterans, and Defend our always under siege Second Amendment. Lisa McClain has my Complete and Total Endorsement for Re-Election — SHE WILL NEVER LET YOU DOWN!",281,2761,12229,[],115434876884564053,0.00328978260144494526,0.01671336279433047898,0.015035008850078569878860,0.010670025787036209461365,-0.00291310471984180545,0.000994829317968189472038,0.00149312654325766506,-0.00147826956272773805,1.68538124130788326600,5.0,0.0,0.1,0,1,7,6,5,0,8
89,2025-10-25 12:46:58.723+00,"Greg Steube is a tremendous Representative for the Great People of Florida’s 17th Congressional District! A Former Captain of the U.S. Army JAG Corps, Greg knows the Wisdom and Courage that is required to Defend our Country, Support our Incredible Military/Veterans, and Champion PEACE THROUGH STRENGTH. In Congress, Greg is working hard to Keep our now very Secure Border, SECURE, Stop Migrant Crime, Ensure LAW AND ORDER, Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Champion Small Business, Advance American Energy DOMINANCE, and Defend our always under siege Second Amendment. Greg Steube has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN! ",230,2705,12082,[],115434875694997684,0.00131124438231404475,0.01670895473112690486,0.015034660075635068715466,0.010672010109083174549258,-0.00207197742662619908,0.001009819629213446362688,0.00156857668474276497,-0.00102399292963231241,1.68493300670841599900,5.0,0.0,0.1,0,1,6,6,5,0,8
90,2025-10-24 03:15:50.222+00,"The Ronald Reagan Foundation has just announced that Canada has fraudulently used an advertisement, which is FAKE, featuring Ronald Reagan speaking negatively about Tariffs. The ad was for $75,000,000. They only did this to interfere with the decision of the U.S. Supreme Court, and other courts. TARIFFS ARE VERY IMPORTANT TO THE NATIONAL SECURITY, AND ECONOMY, OF THE U.S.A. Based on their egregious behavior, ALL TRADE NEGOTIATIONS WITH CANADA ARE HEREBY TERMINATED. Thank you for your attention to this matter! President DJT",3737,11230,35815,"[{""id"":""115426964193008411"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/426/964/193/008/411/original/04ac15e06c1398a5.jpg"",""meta"":{""small"":{""size"":""715x894"",""width"":715,""aspect"":0.7997762863534675,""height"":894},""original"":{""size"":""906x1133"",""width"":906,""aspect"":0.7996469549867609,""height"":1133}},""type"":""image"",""blurhash"":""U5B|mfxb00s:NeWWWER%4nWBWCjsM{j@Rkj["",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/426/964/193/008/411/small/04ac15e06c1398a5.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115426967566430347,0.017557925071060295,0.00549343806266338625,0.020602947802645752341541,0.018370178447826406836001,0.00113821816247611198,0.000189283431680587520138,0.00046046433487841279,0.00098483427628801478,0.55085546615609768100,5.0,-0.4,0.7,0,3,8,9,7,2,3
91,2025-10-23 23:36:06.234+00,"This month is Down Syndrome Awareness Month. To all of the wonderful Down Syndrome children in our Country, and their parents, who love them so much — You are AMAZING! May God bless you.",1267,7072,31995,"[{""id"":""115426099004404037"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/426/099/004/404/037/original/ebb79bcbf649660b.jpg"",""meta"":{""small"":{""size"":""693x923"",""width"":693,""aspect"":0.7508125677139762,""height"":923},""original"":{""size"":""878x1170"",""width"":878,""aspect"":0.7504273504273504,""height"":1170}},""type"":""image"",""blurhash"":""UTJG.nt7-;oz~oofozW=VrR+IVjsIUoLoKoK"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/426/099/004/404/037/small/ebb79bcbf649660b.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115426103540693339,0.01943189766631974028,0.0097393324579166758,0.020728136129416007785589,0.018983726732557251925646,0.00347523842647752547,-0.000364823659815231664,0.00037388435934978673,0.00269002158836659543,0.97869141019778682600,5.0,0.0,0.0,0,1,5,0,0,0,10
