id,created_at,content,replies_count,reblogs_count,favourites_count,media_links,post_id,actual_return_before_10m,actual_return_after_10m,actual_return_change_10m,actual_volatility_before_10m,actual_volatility_after_10m,actual_volatility_change_10m,actual_return_before_1h,actual_return_after_1h,actual_return_change_1h,actual_volatility_before_1h,actual_volatility_after_1h,actual_volatility_change_1h,actual_return_before_1d,actual_return_after_1d,actual_return_change_1d,actual_volatility_before_1d,actual_volatility_after_1d,actual_volatility_change_1d,llm_sentiment_score,llm_emotiontype,llm_emotionlevel,llm_economyimpact,llm_regulatoryimpact,llm_attentionintensity,gpt4_return_10m,gpt4_volatility_10m,gpt4_return_1h,gpt4_volatility_1h,gpt4_return_1d,gpt4_volatility_1d
64,2025-10-27 01:36:53.202+00,"Just leaving Malaysia, a great and very vibrant Country. Signed major Trade and Rare Earth Deals, and yesterday, most importantly, signed the Peace Treaty between Thailand and Cambodia. NO WAR! Millions of lives saved. Such an honor to have gotten this done. Now, off to Japan!!!",1490,5388,25148,[],115443565409065734,0.00028619,0.00041495,0.00012876,0.0003474,0.00036402,0.00001662,0.00177065,-0.00307778,-0.00484843,0.0005407,0.00035966,-0.00018104,0.03050641,-0.0078633,-0.03836971,0.00053958,0.00041911,-0.00012047,5.0,1,6,7,3,6,0.05,0.2,0.1,0.3,0.2,0.3
65,2025-10-26 22:34:40.881+00,“Washington Post editorial board praises Trump’s demolition of East Wing” https://thehill.com/homenews/media/5574074-washington-post-praises-trump/,1269,4224,18125,[],115442848945833358,0.00131041,0.00034947,-0.00096095,0.00060125,0.0003924,-0.00020885,0.01063869,0.00139452,-0.00924417,0.00202971,0.00044638,-0.00158333,0.02606399,-0.00127517,-0.02733917,0.00051666,0.00043336,-0.0000833,5.0,5,3,1,1,3,0.0,0.1,0.0,0.1,0.1,0.3
68,2025-10-26 20:20:54.538+00,Thank you. Big progress for America being made!,2105,6912,30161,"[{""id"":""115442321119898889"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/442/321/119/898/889/original/19de358fe4a6dd19.jpg"",""meta"":{""small"":{""size"":""737x869"",""width"":737,""aspect"":0.8481012658227848,""height"":869},""original"":{""size"":""933x1100"",""width"":933,""aspect"":0.8481818181818181,""height"":1100}},""type"":""image"",""blurhash"":""U76RGqRi4,%3xujuM}j=X1s;-qM{V|a{obf8"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/442/321/119/898/889/small/19de358fe4a6dd19.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115442322929776750,-0.00016959,-0.00073861,-0.00056902,0.00011089,0.00028935,0.00017847,-0.00036267,-0.00116765,-0.00080498,0.00018046,0.00022714,0.00004668,0.01708216,0.01182979,-0.00525238,0.00031081,0.00058906,0.00027825,7.0,1,3,2,0,1,0.1,0.2,0.15,0.25,0.3,0.4
69,2025-10-26 20:19:17.677+00,"Pregnant Women, DON’T USE TYLENOL UNLESS ABSOLUTELY NECESSARY, DON’T GIVE TYLENOL TO YOUR YOUNG CHILD FOR VIRTUALLY ANY REASON, BREAK UP THE MMR SHOT INTO THREE TOTALLY SEPARATE SHOTS (NOT MIXED!), TAKE CHICKEN P SHOT SEPARATELY, TAKE HEPATITAS B SHOT AT 12 YEARS OLD, OR OLDER, AND, IMPORTANTLY, TAKE VACCINE IN 5 SEPARATE MEDICAL VISITS! President DJT https://dailycaller.com/2025/10/21/fda-stayed-silent-potential-tylenol-risks-internal-reports/",1363,6625,20890,[],115442316583935494,-0.00016774,-0.00112636,-0.00095862,0.00016047,0.00023584,0.00007537,-0.00063944,-0.00117796,-0.00053852,0.00018217,0.00022745,0.00004528,0.01702391,0.01148847,-0.00553544,0.00031086,0.00058901,0.00027815,5.0,4,7,3,3,6,0.0,0.1,0.0,0.15,0.0,0.1
70,2025-10-26 18:26:02.984+00,"What’s worse, the NBA Players cheating at cards, and probably much else, or the Democrats cheating on Elections. The 2020 Presidential Election, being Rigged and Stolen, is a far bigger SCANDAL. Look what happened to our Country when a Crooked Moron became our “President!” We now know everything. I hope the DOJ pursues this with as much “gusto” as befitting the biggest SCANDAL in American history! If not, it will happen again, including the upcoming Midterms. No mail-in  or “Early” Voting, Yes to Voter ID! Watch how totally dishonest the California Prop Vote is! Millions of Ballots being “shipped.” GET SMART REPUBLICANS, BEFORE IT IS TOO LATE!!!",4743,13110,46757,[],115441871289276790,-0.00024588,0.00092631,0.00117219,0.00018676,0.00028684,0.00010008,-0.00091839,0.00092824,0.00184663,0.00020984,0.00027884,0.000069,0.01811451,0.01708601,-0.0010285,0.00030872,0.00058165,0.00027293,5.0,3,8,3,3,8,-0.2,0.6,-0.1,0.5,-0.3,0.6
71,2025-10-25 22:15:50.076+00,"I am on my way to Malaysia, where I will sign the great Peace Deal, which I proudly brokered between Cambodia and Thailand. Sadly, the Queen Mother of Thailand has just passed away. I send my condolences to the Great People of Thailand. I will be seeing their wonderful Prime Minister when we land. In order to accommodate everyone for this major event, we will be signing the Peace Deal immediately upon arrival. See you soon! President DJT",3235,7490,36410,[],115437112529618205,-0.00012941,0.00030869,0.0004381,0.00022141,0.00016266,-0.00005875,0.00009738,0.00208376,0.00198638,0.00017858,0.00020768,0.0000291,0.00407263,0.02818526,0.02411263,0.00023906,0.00051292,0.00027386,5.0,2,5,6,0,6,0.0,0.1,0.0,0.2,0.1,0.3
72,2025-10-25 21:43:11.929+00,"RT @realDonaldTrumpCanada was caught, red handed, putting up a fraudulent advertisement on Ronald Reagan’s Speech on Tariffs. The Reagan Foundation said that they, “created an ad campaign using selective audio and video of President Ronald Reagan. The ad misrepresents the Presidential Radio Address,” and “did not seek nor receive permission to use and edit the remarks. The Ronald Reagan Presidential Foundation and Institute is reviewing its legal options in this matter.” The sole purpose of this FRAUD was Canada’s hope that the United States Supreme Court will come to their “rescue” on Tariffs that they have used for years to hurt the United States. Now the United States is able to defend itself against high and overbearing Canadian Tariffs (and those from the rest of the World as well!). Ronald Reagan LOVED Tariffs for purposes of National Security and the Economy, but Canada said he didn’t! Their Advertisement was to be taken down, IMMEDIATELY, but they let it run last night during the World Series, knowing that it was a FRAUD. Because of their serious misrepresentation of the facts, and hostile act, I am increasing the Tariff on Canada by 10% over and above what they are paying now. Thank you for your attention to this matter!",0,0,2,[],115436984200406691,-0.00015923,0.00007517,0.0002344,0.0001302,0.00005931,-0.00007089,-0.0012949,0.00231181,0.00360671,0.0001519,0.00019057,0.00003867,0.00312481,0.01861247,0.01548766,0.0002406,0.00032095,0.00008035,5.0,3,8,8,10,8,-0.3,0.6,-0.4,0.7,-0.3,0.6
79,2025-10-25 20:30:10.525+00,"Canada was caught, red handed, putting up a fraudulent advertisement on Ronald Reagan’s Speech on Tariffs. The Reagan Foundation said that they, “created an ad campaign using selective audio and video of President Ronald Reagan. The ad misrepresents the Presidential Radio Address,” and “did not seek nor receive permission to use and edit the remarks. The Ronald Reagan Presidential Foundation and Institute is reviewing its legal options in this matter.” The sole purpose of this FRAUD was Canada’s hope that the United States Supreme Court will come to their “rescue” on Tariffs that they have used for years to hurt the United States. Now the United States is able to defend itself against high and overbearing Canadian Tariffs (and those from the rest of the World as well!). Ronald Reagan LOVED Tariffs for purposes of National Security and the Economy, but Canada said he didn’t! Their Advertisement was to be taken down, IMMEDIATELY, but they let it run last night during the World Series, knowing that it was a FRAUD. Because of their serious misrepresentation of the facts, and hostile act, I am increasing the Tariff on Canada by 10% over and above what they are paying now. Thank you for your attention to this matter!",4352,9210,36541,[],115436697060819133,-0.00051709,-0.00091255,-0.00039546,0.00010607,0.00025254,0.00014647,-0.00099691,-0.00093382,0.00006309,0.00013455,0.00021989,0.00008534,0.00720766,0.01686065,0.00965298,0.00026431,0.0003115,0.00004719,5.0,3,8,7,10,9,-0.2,0.6,-0.3,0.5,-0.3,0.7
80,2025-10-25 19:54:58.713+00,"We have a very strong PEACE in the Middle East, and I believe it has a good chance of being EVERLASTING. Hamas is going to have to start returning the bodies of the deceased hostages, including two Americans, quickly, or the other Countries involved in this GREAT PEACE will take action. Some of the bodies are hard to reach, but others they can return now and, for some reason, they are not. Perhaps it has to do with their disarming, but when I said, “Both sides would be treated fairly,” that only applies if they comply with their obligations. Let’s see what they do over the next 48 hours. I am watching this very closely.",1034,4243,17346,[],115436558661444946,-0.00029466,0.00005295,0.00034761,0.00012388,0.00009683,-0.00002706,-0.00066767,-0.00106117,-0.00039351,0.0001941,0.00020319,0.00000909,0.00863975,0.01736409,0.00872434,0.00026889,0.00031082,0.00004193,5.0,4,6,7,3,8,0.1,0.3,0.15,0.4,0.3,0.6
82,2025-10-25 18:11:28.545+00,"Congressman Jimmy Patronis is a MAGA Warrior who is doing a fantastic job representing Florida’s 1st Congressional District! A Fourth Generation Floridian from the beautiful Panhandle, and owner of an iconic seafood restaurant, Jimmy served as the Chief Financial Officer for the Great State of Florida for seven years, prior to becoming a very distinguished Congressman. In the U.S. House of Representatives, Jimmy is fighting tirelessly to Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Incredible Military/Veterans, and Defend our always under siege Second Amendment. Jimmy Patronis has my Complete and Total Endorsement for Re-Election – HE WILL NEVER LET YOU DOWN!",407,2601,11668,[],115436151669143136,0.00024082,0.00041766,0.00017684,0.00015535,0.00012345,-0.0000319,-0.00049017,0.00199409,0.00248426,0.00014424,0.00021738,0.00007314,0.00861161,0.01939296,0.01078135,0.00028516,0.00030868,0.00002352,5.0,1,7,5,3,3,0.0,0.1,0.0,0.1,0.0,0.1
83,2025-10-25 15:42:51.321+00,"Richard Hudson is a Great Man, and TREMENDOUS Congressman, who is doing an outstanding job representing the wonderful people of North Carolina’s 9th Congressional District. As Chairman of the National Republican Congressional Committee (NRCC), Richard is working tirelessly with me to help elect smart, tough, and 100% America First Patriots. Together, we won the 2024 Elections down ballot in a LANDSLIDE, and, based on the incredible SUCCESS we are having, are poised to WIN BIG in the 2026 Midterms. In Congress, Richard is fighting hard to Grow the Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Support our Military/Veterans, and Defend our always under siege Second Amendment. Richard Hudson has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",633,2806,12333,[],115435567269756205,0.00105912,-0.00061676,-0.00167588,0.0001368,0.00012753,-0.00000927,-0.00076746,-0.00222872,-0.00146126,0.00019128,0.00025905,0.00006777,0.01235952,0.01727709,0.00491757,0.00031532,0.00030182,-0.00001351,5.0,1,6,5,3,3,0.0,0,0.0,0,0.0,0.1
84,2025-10-25 15:42:31.578+00,"Congressman David Rouzer is a terrific Representative for the incredible people of North Carolina’s 7th Congressional District! A Proven Leader, David served as a Highly Respected State Senator and Small Businessman, prior to becoming a very distinguished U.S. Congressman. In Congress, he is fighting tirelessly to Champion our Amazing Farmers and Ranchers, Grow our Economy, Cut Taxes and Regulations, Advance American Energy DOMINANCE, Promote MADE IN THE U.S.A., Keep our now very Secure Border, SECURE, Stop Migrant Crime, Advocate for our Great Military/Veterans, and Protect our always under siege Second Amendment. David Rouzer has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",249,2508,11264,[],115435565975811522,0.00105912,-0.00061676,-0.00167588,0.0001368,0.00012753,-0.00000927,-0.00076746,-0.00222872,-0.00146126,0.00019128,0.00025905,0.00006777,0.01235952,0.01727709,0.00491757,0.00031532,0.00030182,-0.00001351,5.0,1,6,5,3,2,0.0,0.1,0.0,0.1,0.0,0.1
85,2025-10-25 15:42:24.209+00,"Congressman Addison McDowell is an America First Patriot, who is doing a fantastic job representing North Carolina’s 6th Congressional District! A MAGA Warrior, Addison previously worked for Senator Ted Budd and Congressman Richard Hudson (Two outstanding leaders from the Great State of North Carolina!), prior to becoming a distinguished and Highly Respected Congressman. In Congress, Addison is fighting tirelessly to Champion our Great Farmers and American Agriculture, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Strengthen our Military/Veterans, and Protect our always under siege Second Amendment. Addison McDowell has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",205,2413,10898,[],115435565492870939,0.00105912,-0.00061676,-0.00167588,0.0001368,0.00012753,-0.00000927,-0.00076746,-0.00222872,-0.00146126,0.00019128,0.00025905,0.00006777,0.01235952,0.01727709,0.00491757,0.00031532,0.00030182,-0.00001351,5.0,1,7,4,3,3,0.0,0,0.0,0,0.0,0.1
86,2025-10-25 13:50:28.885+00,"Congresswoman Nicole Malliotakis is a Tremendous Champion for New York’s 11th Congressional District! As a Member of the POWERFUL Ways &amp; Means Committee, Nicole knows the America First Policies required to Create GREAT Jobs, Cut Taxes and Regulations, and Champion our Nation’s Golden Age. She is working hard to Advance American Energy DOMINANCE, Promote MADE IN THE U.S.A., Keep our now very Secure Border, SECURE, Strengthen our Brave Military/Veterans, Champion the Incredible NYPD and NYFD, and Protect our always under siege Second Amendment. Nicole Malliotakis has my Complete and Total Endorsement for Re-Election — SHE WILL NEVER LET YOU DOWN!",623,2934,13077,[],115435125397678740,-0.00068291,0.00107791,0.00176083,0.00012887,0.00007465,-0.00005422,-0.00193642,-0.0000363,0.00190012,0.0002965,0.00019963,-0.00009687,0.0098413,0.01929634,0.00945503,0.00037377,0.00028714,-0.00008663,5.0,1,6,4,3,3,0.0,0.1,0.0,0.1,0.0,0.1
87,2025-10-25 12:54:52.605+00,"Congressman Jack Bergman is a Tremendous Champion for the Great People of Michigan's 1st Congressional District! A retired Lieutenant General of the U.S. Marine Corps, Jack bravely served our Nation in combat, and continues to make our Country proud in Congress. Jack is fighting tirelessly to Champion our Amazing Farmers and Ranchers, Advocate for the Working Men and Women of Michigan, Promote MADE IN THE U.S.A., Cut Taxes and Regulations, Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Military/Veterans, and Defend our always under siege Second Amendment. Jack Bergman has my Complete and Total Endorsement – HE WILL NEVER LET YOU DOWN!",471,3032,13018,[],115434906751111005,0.00044243,0.00044527,0.00000285,0.00033911,0.00032367,-0.00001544,0.00148012,-0.0009988,-0.00247892,0.00019317,0.0002886,0.00009543,0.00445054,0.01595199,0.01150145,0.00039541,0.00028317,-0.00011223,5.0,1,7,4,3,3,0.0,0,0.0,0,0.0,0.1
88,2025-10-25 12:47:16.877+00,"Congresswoman Lisa McClain is a Fantastic Advocate for the Great People of Michigan’s 9th Congressional District! As the Chair of the House Republican Conference, Lisa is doing a truly fantastic job advancing our America First Agenda. She is working tirelessly to Grow our Economy, Cut Taxes and Regulations, Champion our Great Farmers and American Agriculture, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Ensure LAW AND ORDER, Strengthen our Incredible Military/Veterans, and Defend our always under siege Second Amendment. Lisa McClain has my Complete and Total Endorsement for Re-Election — SHE WILL NEVER LET YOU DOWN!",281,2761,12229,[],115434876884564053,0.00039092,0.00149201,0.00110109,0.00011856,0.00040095,0.0002824,0.00143374,-0.00147936,-0.0029131,0.00017939,0.00031446,0.00013506,0.00328978,0.01671336,0.01342358,0.00039639,0.00028108,-0.00011531,5.0,1,7,5,3,3,0.0,0.1,0.0,0.1,0.0,0.1
89,2025-10-25 12:46:58.723+00,"Greg Steube is a tremendous Representative for the Great People of Florida’s 17th Congressional District! A Former Captain of the U.S. Army JAG Corps, Greg knows the Wisdom and Courage that is required to Defend our Country, Support our Incredible Military/Veterans, and Champion PEACE THROUGH STRENGTH. In Congress, Greg is working hard to Keep our now very Secure Border, SECURE, Stop Migrant Crime, Ensure LAW AND ORDER, Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Champion Small Business, Advance American Energy DOMINANCE, and Defend our always under siege Second Amendment. Greg Steube has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN! ",230,2705,12082,[],115434875694997684,0.00010448,0.00156735,0.00146287,0.00008572,0.00040468,0.00031896,0.00104746,-0.00102452,-0.00207198,0.00017607,0.00031697,0.0001409,0.00131124,0.01670895,0.01539771,0.0003964,0.00028109,-0.0001153,5.0,1,6,5,3,3,0.0,0.1,0.0,0.1,0.0,0.1
